"Time", "Load (N)", "Position (mm)", "Strain(Axial) (in)", "Strain(Transverse) (in)", "Auxiliary ()", "Control Out (V)", "Stress (MPa)"
0.0, 0.13754633, 0.0053850035, NaN, NaN, NaN, -0.22767504, "- N/A -   "
0.009999990463256836, 0.17193292, 0.006027658, NaN, NaN, NaN, -0.22035037, "- N/A -   "
0.019999980926513672, 0.2063195, 0.006692474, NaN, NaN, NaN, -0.20936337, "- N/A -   "
0.029999971389770508, 0.24070609, 0.007312968, NaN, NaN, NaN, -0.20325948, "- N/A -   "
0.04000002145767212, 0.27509266, 0.007711857, NaN, NaN, NaN, -0.2020387, "- N/A -   "
0.050000011920928955, 0.27509266, 0.007911301, NaN, NaN, NaN, -0.20448026, "- N/A -   "
0.06000000238418579, 0.27509266, 0.007977784, NaN, NaN, NaN, -0.20692182, "- N/A -   "
0.06999999284744263, 0.27509266, 0.007999944, NaN, NaN, NaN, -0.21180493, "- N/A -   "
0.07999998331069946, 0.30947924, 0.007999944, NaN, NaN, NaN, -0.21546726, "- N/A -   "
0.0899999737739563, 0.30947924, 0.007999944, NaN, NaN, NaN, -0.22035037, "- N/A -   "
0.09999996423721313, 0.34386584, 0.007999944, NaN, NaN, NaN, -0.2240127, "- N/A -   "
0.11000001430511475, 0.8940512, 1.1080254E-4, NaN, NaN, NaN, -0.22645426, "- N/A -   "
0.12000000476837158, 0.7908914, 7.091363E-4, NaN, NaN, NaN, -0.22157115, "- N/A -   "
0.12999999523162842, 0.30947924, 0.0013296305, NaN, NaN, NaN, -0.21180493, "- N/A -   "
0.13999998569488525, 0.34386584, 0.0017950012, NaN, NaN, NaN, -0.21058415, "- N/A -   "
0.1499999761581421, 0.412639, 0.0021052482, NaN, NaN, NaN, -0.21058415, "- N/A -   "
0.15999996662139893, 0.412639, 0.002349014, NaN, NaN, NaN, -0.21058415, "- N/A -   "
0.17000001668930054, 0.4470256, 0.0025927795, NaN, NaN, NaN, -0.21058415, "- N/A -   "
0.18000000715255737, 0.4470256, 0.0028587056, NaN, NaN, NaN, -0.21058415, "- N/A -   "
0.1899999976158142, 0.48141217, 0.0031689527, NaN, NaN, NaN, -0.21058415, "- N/A -   "
0.19999998807907104, 0.51579875, 0.0035900024, NaN, NaN, NaN, -0.20936337, "- N/A -   "
0.20999997854232788, 0.5845719, 0.004188336, NaN, NaN, NaN, -0.2020387, "- N/A -   "
0.21999996900558472, 0.6189585, 0.0049196333, NaN, NaN, NaN, -0.1910517, "- N/A -   "
0.23000001907348633, 0.6877317, 0.005517967, NaN, NaN, NaN, -0.1861686, "- N/A -   "
0.24000000953674316, 0.65334505, 0.0058725346, NaN, NaN, NaN, -0.18494782, "- N/A -   "
0.25, 0.65334505, 0.006049819, NaN, NaN, NaN, -0.18494782, "- N/A -   "
0.25999999046325684, 0.6877317, 0.006071979, NaN, NaN, NaN, -0.18738937, "- N/A -   "
0.27000004053115845, 0.7221182, 0.006071979, NaN, NaN, NaN, -0.19227248, "- N/A -   "
0.2800000309944153, 0.7221182, 0.006071979, NaN, NaN, NaN, -0.19593482, "- N/A -   "
0.2900000214576721, 0.6877317, 0.006071979, NaN, NaN, NaN, -0.20081793, "- N/A -   "
0.30000001192092896, 0.6877317, 0.006071979, NaN, NaN, NaN, -0.20448026, "- N/A -   "
0.3100000023841858, 0.7221182, 0.006071979, NaN, NaN, NaN, -0.20936337, "- N/A -   "
0.3199999928474426, 0.6877317, 0.006071979, NaN, NaN, NaN, -0.21424648, "- N/A -   "
0.32999998331069946, 0.7221182, 0.006071979, NaN, NaN, NaN, -0.21790881, "- N/A -   "
0.3399999737739563, 0.7221182, 0.006071979, NaN, NaN, NaN, -0.22279193, "- N/A -   "
0.34999996423721313, 0.75650483, 0.00609414, NaN, NaN, NaN, -0.22523348, "- N/A -   "
0.35999995470046997, 1.237917, 0.006360066, NaN, NaN, NaN, -0.22645426, "- N/A -   "
0.3699999451637268, 1.1691438, 0.0070027206, NaN, NaN, NaN, -0.22035037, "- N/A -   "
0.37999993562698364, 0.75650483, 0.007623215, NaN, NaN, NaN, -0.2130257, "- N/A -   "
0.39000004529953003, 0.75650483, 0.008088585, NaN, NaN, NaN, -0.21058415, "- N/A -   "
0.40000003576278687, 0.7908914, 0.008420993, NaN, NaN, NaN, -0.21058415, "- N/A -   "
0.4100000262260437, 0.825278, 0.00870908, NaN, NaN, NaN, -0.21058415, "- N/A -   "
0.42000001668930054, 0.825278, 0.008975006, NaN, NaN, NaN, -0.21180493, "- N/A -   "
0.4300000071525574, 0.85966456, 0.009218772, NaN, NaN, NaN, -0.21180493, "- N/A -   "
0.4399999976158142, 0.85966456, 0.009484698, NaN, NaN, NaN, -0.21180493, "- N/A -   "
0.44999998807907104, 0.8940512, 0.009794945, NaN, NaN, NaN, -0.21180493, "- N/A -   "
0.4599999785423279, 0.96282434, 0.010260316, NaN, NaN, NaN, -0.2081426, "- N/A -   "
